,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,NH3,Space Velocity,Temperature,Conversion,Standard Error,nAveraged,Groups
777,49,Ru,3.0,W,1.0,K,12.0,10.0,1,2038.5175879396984,400,1.0,0.0,3,61864
780,49,Ru,3.0,W,1.0,K,12.0,10.0,1,2038.5175879396984,450,0.9927583015810112,0.003623858862829234,3,61864
783,50,Ru,2.0,W,2.0,K,12.0,11.0,1,2233.7931034482763,250,0.15964286024453433,0.0022630423504748855,3,61864
786,50,Ru,2.0,W,2.0,K,12.0,11.0,1,2233.7931034482763,300,0.3496020331578113,0.021554869404923953,3,61864
789,50,Ru,2.0,W,2.0,K,12.0,11.0,1,2233.7931034482763,350,0.518401580814267,0.009195926528430856,3,61864
792,50,Ru,2.0,W,2.0,K,12.0,11.0,1,2233.7931034482763,400,0.8499535629529221,0.003564186377791657,3,61864
795,50,Ru,2.0,W,2.0,K,12.0,11.0,1,2233.7931034482763,450,0.9799139944938351,0.005567618590499135,3,61864
798,51,Ru,1.0,W,3.0,K,12.0,12.0,1,1909.9646464646466,250,0.07157072190109004,0.003990780482335848,3,61864
801,51,Ru,1.0,W,3.0,K,12.0,12.0,1,1909.9646464646466,300,0.13772627351817435,0.014902798085640183,3,61864
804,51,Ru,1.0,W,3.0,K,12.0,12.0,1,1909.9646464646466,350,0.23642531550380896,0.03639116119599066,3,61864
807,51,Ru,1.0,W,3.0,K,12.0,12.0,1,1909.9646464646466,400,0.32675945964406233,0.015953173198286253,3,61864
810,51,Ru,1.0,W,3.0,K,12.0,12.0,1,1909.9646464646466,450,0.5364732772360145,0.011569349825649538,3,61864
813,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1,2188.3,250,0.3351271010595553,0.010530042982942961,3,16720
816,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1,2188.3,300,0.8673856256588718,0.010775357940244867,3,16720
819,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1,2188.3,350,0.9480824962507493,0.004903415704240444,3,16720
822,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1,2188.3,400,0.9216997053750227,0.0049935716301077685,3,16720
825,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1,2188.3,450,0.9486762291469416,0.014078259634785852,3,16720
828,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1,1934.725490196079,250,0.09781276641843932,0.016708864741004376,3,16720
831,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1,1934.725490196079,300,0.675099138006814,0.024047994108187358,3,16720
834,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1,1934.725490196079,350,0.933041886462842,0.06695811353715801,3,16720
837,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1,1934.725490196079,400,1.0,0.0,2,16720
839,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1,1934.725490196079,450,0.9911610359596515,0.008838964040348452,3,16720
1354,57,Ru,1.0,Ca,3.0,K,12.0,10.0,1,2310.452261306533,250,0.2039126595065497,0.002617488444524644,3,16720
1346,57,Ru,1.0,Ca,3.0,K,12.0,10.0,1,2310.452261306533,300,0.328358254900039,0.026251584186808345,3,16720
1348,57,Ru,1.0,Ca,3.0,K,12.0,10.0,1,2310.452261306533,350,0.6456742474494304,0.02666835233093087,6,16720
1351,57,Ru,1.0,Ca,3.0,K,12.0,10.0,1,2310.452261306533,400,0.9571246200534624,0.012043279769205703,5,16720
1363,57,Ru,1.0,Ca,3.0,K,12.0,10.0,1,2310.452261306533,450,0.9885101307834371,,1,16720
1423,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1,2248.308080808081,250,0.291334344402982,0.011900064947411665,3,60192
1415,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1,2248.308080808081,300,0.7790561825126123,0.04271714964122789,3,60192
1417,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1,2248.308080808081,350,0.8380633401389224,0.03375756263041111,6,60192
1420,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1,2248.308080808081,400,0.8877671542230634,0.026680012015565635,3,60192
1430,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1,2234.9884526558894,250,0.2537210310218377,0.007326363198976713,3,60192
1433,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1,2234.9884526558894,300,0.7952243450817981,0.005071217563313437,3,60192
1436,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1,2234.9884526558894,350,0.9976902230847283,0.0023097769152717884,3,60192
1439,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1,2234.9884526558894,400,0.9941018779917505,0.004839808695362159,3,60192
1442,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1,2234.9884526558894,450,0.995532637512262,0.003348789180283955,3,60192
1445,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1,2320.496083550913,250,0.33186412390410364,0.004467911691817821,3,60192
1448,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1,2320.496083550913,300,0.8123306921160737,0.005740886310403601,3,60192
1451,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1,2320.496083550913,350,1.0,0.0,3,60192
1454,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1,2320.496083550913,400,1.0,0.0,3,60192
1457,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1,2320.496083550913,450,1.0,0.0,3,60192
1565,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1,2271.047227926078,250,0.5216430528767443,0.020522378696264686,3,17556
1568,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1,2271.047227926078,300,0.9976800975611786,0.0023199024388213347,3,17556
1571,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1,2271.047227926078,350,1.0,0.0,3,17556
1574,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1,2271.047227926078,400,1.0,0.0,3,17556
1577,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1,2271.047227926078,450,1.0,0.0,3,17556
1580,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1,2552.3503737520696,250,0.24981846869364566,0.004292255500816678,3,17556
1583,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1,2552.3503737520696,300,0.5750757244971116,0.0027616933079143372,3,17556
1586,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1,2552.3503737520696,350,0.9231273197530045,0.008618114415626868,3,17556
1589,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1,2552.3503737520696,400,0.9471360102573976,0.017090435618624913,3,17556
1592,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1,2552.3503737520696,450,0.9349369398705437,0.012817583389407864,3,17556
1595,63,Ru,1.0,Sc,3.0,K,12.0,12.0,1,1868.82146439318,250,0.18802391421894868,0.009446039265201102,3,17556
1598,63,Ru,1.0,Sc,3.0,K,12.0,12.0,1,1868.82146439318,300,0.5398628142120483,0.014785636556955488,3,17556
1601,63,Ru,1.0,Sc,3.0,K,12.0,12.0,1,1868.82146439318,350,0.8462409651212613,0.008356074769434165,3,17556
1604,63,Ru,1.0,Sc,3.0,K,12.0,12.0,1,1868.82146439318,400,0.9444121645063112,0.025636833135925723,3,17556
1607,63,Ru,1.0,Sc,3.0,K,12.0,12.0,1,1868.82146439318,450,0.9711214602154298,0.017442682684663913,3,17556
1610,64,Ru,3.0,Rh,1.0,K,12.0,13.0,1,2548.2590564236552,250,0.3239596719587166,0.015526492021004272,3,37620
1613,64,Ru,3.0,Rh,1.0,K,12.0,13.0,1,2548.2590564236552,300,0.760598518915167,0.010914244700441533,3,37620
1616,64,Ru,3.0,Rh,1.0,K,12.0,13.0,1,2548.2590564236552,350,0.9273153320921305,0.007828441689223701,3,37620
1619,64,Ru,3.0,Rh,1.0,K,12.0,13.0,1,2548.2590564236552,400,0.9141799301132153,0.017079840269725775,3,37620
1622,64,Ru,3.0,Rh,1.0,K,12.0,13.0,1,2548.2590564236552,450,0.939612943658123,0.024261671294450938,3,37620
1625,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1,2279.15,250,0.3467723487646777,0.041660669040938354,4,37620
1627,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1,2279.15,300,0.7850261903764765,0.04417304914827712,4,37620
1633,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1,2279.15,350,0.9931324462895549,0.0031186791922603956,3,37620
1636,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1,2279.15,400,0.9895807318268629,0.005209939275444963,3,37620
1639,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1,2279.15,450,0.9821898166641363,0.005782613626771514,3,37620
1642,66,Ru,1.0,Rh,3.0,K,12.0,1.0,1,2381.9095477386936,250,0.250223294381759,0.02311557031631473,4,37620
1644,66,Ru,1.0,Rh,3.0,K,12.0,1.0,1,2381.9095477386936,300,0.6104776812397932,0.04088901566977718,4,37620
1650,66,Ru,1.0,Rh,3.0,K,12.0,1.0,1,2381.9095477386936,350,1.0,0.0,3,37620
1653,66,Ru,1.0,Rh,3.0,K,12.0,1.0,1,2381.9095477386936,400,1.0,0.0,3,37620
1656,66,Ru,1.0,Rh,3.0,K,12.0,1.0,1,2381.9095477386936,450,1.0,0.0,3,37620
1659,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1,2594.2964824120604,250,0.09843403004873025,0.014543621718248335,4,25080
1661,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1,2594.2964824120604,300,0.4888717430124272,0.03767405766135746,4,25080
1667,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1,2594.2964824120604,350,0.8109514960389635,0.008977101139732485,3,25080
1670,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1,2594.2964824120604,400,0.9911490568471896,0.004429541476006431,3,25080
1673,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1,2594.2964824120604,450,0.9868824174189367,0.004539707724490979,3,25080
1676,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1,2636.625,250,0.026692553554547,0.012053417145641794,4,25080
1678,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1,2636.625,300,0.140283052287941,0.019602365855877983,4,25080
1684,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1,2636.625,350,0.5189233397762266,0.007963320582255937,3,25080
1687,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1,2636.625,400,0.946926629292831,0.004452513836649457,3,25080
1690,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1,2636.625,450,0.9608722095383303,0.005364996097971303,3,25080
1693,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1,2221.130653266332,250,0.04290338378887651,0.004564768655817406,4,25080
1695,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1,2221.130653266332,300,0.04596529785565226,0.04596529785565226,4,25080
1701,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1,2221.130653266332,350,0.47610918529615737,0.007892278129205194,3,25080
1704,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1,2221.130653266332,400,0.987850923264057,0.010499886059235219,3,25080
1707,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1,2221.130653266332,450,1.0,0.0,3,25080
1710,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1,1963.0904522613064,250,0.4234032181158507,0.1131480582169968,4,31768
1712,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1,1963.0904522613064,300,0.8281772815221278,0.05203457441678149,4,31768
1718,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1,1963.0904522613064,350,0.9967824880908909,0.0032175119091090534,3,31768
1721,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1,1963.0904522613064,400,1.0,0.0,3,31768
1724,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1,1963.0904522613064,450,0.9937361098919152,0.005557639007547037,3,31768
1727,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1,2419.375,250,0.36655753031813954,0.0976799799204428,4,31768
1729,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1,2419.375,300,0.6822470327857688,0.10064244671872966,4,31768
1735,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1,2419.375,350,1.0,0.0,3,31768
1738,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1,2419.375,400,1.0,0.0,3,31768
1741,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1,2419.375,450,1.0,0.0,3,31768
1744,75,Ru,1.0,Sr,3.0,K,12.0,7.0,1,2159.5979899497493,250,0.11851721210727251,0.024365026676282257,4,31768
1746,75,Ru,1.0,Sr,3.0,K,12.0,7.0,1,2159.5979899497493,300,0.7278944377938619,0.06888487625768235,4,31768
1752,75,Ru,1.0,Sr,3.0,K,12.0,7.0,1,2159.5979899497493,350,0.9564982273415815,0.004729836508059938,3,31768
1755,75,Ru,1.0,Sr,3.0,K,12.0,7.0,1,2159.5979899497493,400,0.9932566466652203,0.006743353334779601,3,31768
1758,75,Ru,1.0,Sr,3.0,K,12.0,7.0,1,2159.5979899497493,450,1.0,0.0,3,31768
1761,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1,2362.1393034825874,250,0.14914970472598726,0.004632151547194092,4,69388
1763,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1,2362.1393034825874,300,0.22783038689949725,0.024019115180813434,4,69388
1769,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1,2362.1393034825874,350,0.32235780204461567,0.0058472800071934245,3,69388
1772,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1,2362.1393034825874,400,0.5271871483438707,0.0031363308844985513,3,69388
1775,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1,2362.1393034825874,450,0.8626075199181843,0.009492434974852039,3,69388
1778,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1,2433.2000000000007,250,0.11604188277528577,0.012507483176053016,4,69388
1780,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1,2433.2000000000007,300,0.033600575976475755,0.033600575976475755,4,69388
1786,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1,2433.2000000000007,350,0.31971582029848666,0.011214964015254998,3,69388
1789,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1,2433.2000000000007,400,0.6092103755949406,0.0043392831512540616,3,69388
1792,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1,2433.2000000000007,450,0.9010129547989923,0.004485720745179256,3,69388
1795,78,Ru,1.0,Bi,3.0,K,12.0,11.0,1,2659.358852154718,250,0.05706194152204774,0.0031171085750944716,4,69388
1797,78,Ru,1.0,Bi,3.0,K,12.0,11.0,1,2659.358852154718,300,0.226676497408339,0.050664567065596175,4,69388
1803,78,Ru,1.0,Bi,3.0,K,12.0,11.0,1,2659.358852154718,350,0.24427039857903965,0.007319378786301474,3,69388
1806,78,Ru,1.0,Bi,3.0,K,12.0,11.0,1,2659.358852154718,400,0.505343655775162,0.00975989487492153,3,69388
1809,78,Ru,1.0,Bi,3.0,K,12.0,11.0,1,2659.358852154718,450,0.8164116996493344,0.008524722080071535,3,69388
1812,82,Ru,3.0,Pd,1.0,K,12.0,13.0,1,2474.675,250,0.20411456288353724,0.04763895846487196,4,38456
1814,82,Ru,3.0,Pd,1.0,K,12.0,13.0,1,2474.675,300,0.42212087570585344,0.07457440047998633,4,38456
1820,82,Ru,3.0,Pd,1.0,K,12.0,13.0,1,2474.675,350,0.9812991943331765,0.007274358480628834,3,38456
1823,82,Ru,3.0,Pd,1.0,K,12.0,13.0,1,2474.675,400,0.9811225082554013,0.007960871844506692,3,38456
1826,82,Ru,3.0,Pd,1.0,K,12.0,13.0,1,2474.675,450,0.9532710323007404,0.00404211869202213,3,38456
1830,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1,2184.35,250,0.04367652446023123,0.027281723955615095,4,38456
1832,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1,2184.35,300,0.24123938805402423,0.043865639268368985,4,38456
1838,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1,2184.35,350,0.934159801436417,0.008944361039690544,3,38456
1841,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1,2184.35,400,0.9836872775924187,0.009226583213990466,3,38456
1829,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1,2184.35,450,0.9961139249513222,0.003886075048677773,2,38456
1890,84,Ru,1.0,Pd,3.0,K,12.0,3.0,1,2900.6565656565663,250,0.09084078155629349,0.012506725563449932,4,38456
1894,84,Ru,1.0,Pd,3.0,K,12.0,3.0,1,2900.6565656565663,300,0.14375291795045753,0.006306088198844469,2,38456
1896,84,Ru,1.0,Pd,3.0,K,12.0,3.0,1,2900.6565656565663,350,0.16379856162200432,0.011919881789600897,3,38456
2058,84,Ru,1.0,Pd,3.0,K,12.0,3.0,5,846.0,350,0.0890431937786073,0.015026590381204154,3,38456
2061,84,Ru,1.0,Pd,3.0,K,12.0,3.0,5,1410.0,350,0.07582425496544,0.0053778375947828635,3,38456
2064,84,Ru,1.0,Pd,3.0,K,12.0,3.0,5,1975.0,350,0.059303028460078684,0.015700019033314003,3,38456
2067,84,Ru,1.0,Pd,3.0,K,12.0,3.0,5,2539.0,350,0.04248792085417002,0.0002791222985159478,2,38456
1899,84,Ru,1.0,Pd,3.0,K,12.0,3.0,1,2900.6565656565663,400,0.33037932465325365,0.020480485346685732,3,38456
1902,84,Ru,1.0,Pd,3.0,K,12.0,3.0,1,2900.6565656565663,450,0.40007854900365564,0.008311390475906016,3,38456
1905,85,Ru,3.0,Mo,1.0,K,12.0,4.0,1,2271.25,250,0.12458194788514923,0.003637046464591669,4,35112
1909,85,Ru,3.0,Mo,1.0,K,12.0,4.0,1,2271.25,300,0.22344097906924398,0.008420629801172974,2,35112
1911,85,Ru,3.0,Mo,1.0,K,12.0,4.0,1,2271.25,350,0.3799260112018437,0.0013292668876372267,3,35112
2069,85,Ru,3.0,Mo,1.0,K,12.0,4.0,5,846.0,350,0.154181697133948,0.012750763300558493,3,35112
2072,85,Ru,3.0,Mo,1.0,K,12.0,4.0,5,1410.0,350,0.11853621100967733,0.005441585060004053,3,35112
2075,85,Ru,3.0,Mo,1.0,K,12.0,4.0,5,1975.0,350,0.09455464714157132,0.005631488337227322,3,35112
2078,85,Ru,3.0,Mo,1.0,K,12.0,4.0,5,2539.0,350,0.15874486550759298,0.0016373066328510405,2,35112
1914,85,Ru,3.0,Mo,1.0,K,12.0,4.0,1,2271.25,400,0.8959445731961752,0.006872150060412488,3,35112
1917,85,Ru,3.0,Mo,1.0,K,12.0,4.0,1,2271.25,450,1.0,0.0,3,35112
1920,86,Ru,2.0,Mo,2.0,K,12.0,5.0,1,2111.275,250,0.06999999999999995,0.0,4,35112
1924,86,Ru,2.0,Mo,2.0,K,12.0,5.0,1,2111.275,300,0.07729692459473347,0.007296924594733522,2,35112
1926,86,Ru,2.0,Mo,2.0,K,12.0,5.0,1,2111.275,350,0.09662115942300398,0.015133844397860386,3,35112
2080,86,Ru,2.0,Mo,2.0,K,12.0,5.0,5,846.0,350,0.0,0.0,3,35112
2083,86,Ru,2.0,Mo,2.0,K,12.0,5.0,5,1410.0,350,0.0,0.0,3,35112
2086,86,Ru,2.0,Mo,2.0,K,12.0,5.0,5,1975.0,350,0.0,0.0,3,35112
2089,86,Ru,2.0,Mo,2.0,K,12.0,5.0,5,2539.0,350,0.0,0.0,2,35112
1929,86,Ru,2.0,Mo,2.0,K,12.0,5.0,1,2111.275,400,0.2297270208853457,0.012611208810060453,3,35112
1932,86,Ru,2.0,Mo,2.0,K,12.0,5.0,1,2111.275,450,0.4563828522629804,0.006817982310392368,3,35112
1935,87,Ru,1.0,Mo,3.0,K,12.0,6.0,1,2536.212871287129,250,0.13355983404668878,0.005792034320777904,4,35112
1939,87,Ru,1.0,Mo,3.0,K,12.0,6.0,1,2536.212871287129,300,0.14914356369043302,0.0033205528623529985,2,35112
1941,87,Ru,1.0,Mo,3.0,K,12.0,6.0,1,2536.212871287129,350,0.20211936987674364,0.009103824063073198,3,35112
2091,87,Ru,1.0,Mo,3.0,K,12.0,6.0,5,846.0,350,0.0,0.0,3,35112
2094,87,Ru,1.0,Mo,3.0,K,12.0,6.0,5,1410.0,350,0.0,0.0,3,35112
2097,87,Ru,1.0,Mo,3.0,K,12.0,6.0,5,1975.0,350,0.0,0.0,3,35112
2100,87,Ru,1.0,Mo,3.0,K,12.0,6.0,5,2539.0,350,0.0,0.0,2,35112
1944,87,Ru,1.0,Mo,3.0,K,12.0,6.0,1,2536.212871287129,400,0.3681285737352156,0.009933124607581476,3,35112
1947,87,Ru,1.0,Mo,3.0,K,12.0,6.0,1,2536.212871287129,450,0.7079525474569421,0.00986069222334334,3,35112
1950,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1,2537.039800995025,250,0.2674625306546662,0.003643697586678804,4,64372
1954,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1,2537.039800995025,300,0.3002245046807015,0.00956599523846649,2,64372
1956,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1,2537.039800995025,350,0.43865122139436935,0.009493348987056238,3,64372
2102,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5,846.0,350,0.4380661901573906,0.017195430860252454,3,64372
2105,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5,1410.0,350,0.307445034369696,0.006945312071893716,3,64372
2108,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5,1975.0,350,0.24395965652998267,0.008920235407186144,3,64372
2111,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5,2539.0,350,0.2977508007128,0.002214595516060014,2,64372
1959,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1,2537.039800995025,400,0.8361871721637705,0.008001831797843523,3,64372
1962,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1,2537.039800995025,450,1.0,0.0,3,64372
1965,90,Ru,1.0,Ir,3.0,K,12.0,10.0,1,2540.70351758794,250,0.22394779279371776,0.009214284215942857,4,64372
1969,90,Ru,1.0,Ir,3.0,K,12.0,10.0,1,2540.70351758794,300,0.2280695027582535,0.0126433324443605,2,64372
1971,90,Ru,1.0,Ir,3.0,K,12.0,10.0,1,2540.70351758794,350,0.22653734133573866,0.007856134606899337,3,64372
2113,90,Ru,1.0,Ir,3.0,K,12.0,10.0,5,846.0,350,0.158604086531868,0.004778835515904822,3,64372
2116,90,Ru,1.0,Ir,3.0,K,12.0,10.0,5,1410.0,350,0.12421786919966132,0.012641632361272493,3,64372
2119,90,Ru,1.0,Ir,3.0,K,12.0,10.0,5,1975.0,350,0.08485793634000734,0.00279306182359818,3,64372
2122,90,Ru,1.0,Ir,3.0,K,12.0,10.0,5,2539.0,350,0.13605168481040897,0.025033083559784942,2,64372
1974,90,Ru,1.0,Ir,3.0,K,12.0,10.0,1,2540.70351758794,400,0.37915208883869206,0.01820288932747498,3,64372
1977,90,Ru,1.0,Ir,3.0,K,12.0,10.0,1,2540.70351758794,450,0.8235300663597197,0.00709819192677448,3,64372
1980,91,Ru,3.0,Re,1.0,K,12.0,11.0,1,2911.15,250,0.09293198147357198,0.0021104177026029566,4,62700
1984,91,Ru,3.0,Re,1.0,K,12.0,11.0,1,2911.15,300,0.11760905902053148,0.009319238220427517,2,62700
1986,91,Ru,3.0,Re,1.0,K,12.0,11.0,1,2911.15,350,0.22185450035465867,0.012630568454552982,3,62700
2124,91,Ru,3.0,Re,1.0,K,12.0,11.0,5,846.0,350,0.10614883344422138,0.007456479412340849,3,62700
2127,91,Ru,3.0,Re,1.0,K,12.0,11.0,5,1410.0,350,0.03417363815035467,0.017466164106314623,3,62700
2130,91,Ru,3.0,Re,1.0,K,12.0,11.0,5,1975.0,350,0.0,0.0,3,62700
2133,91,Ru,3.0,Re,1.0,K,12.0,11.0,5,2539.0,350,0.180476665227404,0.008570522064844072,2,62700
1989,91,Ru,3.0,Re,1.0,K,12.0,11.0,1,2911.15,400,0.45411251684541365,0.009867696939871804,3,62700
1992,91,Ru,3.0,Re,1.0,K,12.0,11.0,1,2911.15,450,0.9303286398156997,0.0031463404938593363,3,62700
1995,92,Ru,2.0,Re,2.0,K,12.0,12.0,1,2627.3484848484845,250,0.07424647535087503,0.0021098510386936063,4,62700
1999,92,Ru,2.0,Re,2.0,K,12.0,12.0,1,2627.3484848484845,300,0.08066764570937945,0.0020650895729314995,2,62700
2001,92,Ru,2.0,Re,2.0,K,12.0,12.0,1,2627.3484848484845,350,0.1326796124417767,0.005607460446595855,3,62700
2135,92,Ru,2.0,Re,2.0,K,12.0,12.0,5,846.0,350,0.12426964810207668,0.01766719409559671,3,62700
2138,92,Ru,2.0,Re,2.0,K,12.0,12.0,5,1410.0,350,0.09012805626987064,0.00734968501834859,3,62700
2141,92,Ru,2.0,Re,2.0,K,12.0,12.0,5,1975.0,350,0.04221810518865995,0.012706216189208742,3,62700
2144,92,Ru,2.0,Re,2.0,K,12.0,12.0,5,2539.0,350,0.0,0.0,2,62700
2004,92,Ru,2.0,Re,2.0,K,12.0,12.0,1,2627.3484848484845,400,0.35864114510866624,0.00989618446531844,3,62700
2007,92,Ru,2.0,Re,2.0,K,12.0,12.0,1,2627.3484848484845,450,0.9143500091507812,0.00739010002473767,3,62700
2010,93,Ru,1.0,Re,3.0,K,12.0,14.0,1,2442.7114427860697,250,0.03324361117758398,0.01064540835026303,4,62700
2014,93,Ru,1.0,Re,3.0,K,12.0,14.0,1,2442.7114427860697,300,0.1061535388286205,0.018761215266648475,2,62700
2016,93,Ru,1.0,Re,3.0,K,12.0,14.0,1,2442.7114427860697,350,0.27243221412908064,0.007096817696892066,3,62700
2146,93,Ru,1.0,Re,3.0,K,12.0,14.0,5,846.0,350,0.3444827144948633,0.018417756475521463,3,62700
2149,93,Ru,1.0,Re,3.0,K,12.0,14.0,5,1410.0,350,0.240130684159942,0.006796865082415342,3,62700
2152,93,Ru,1.0,Re,3.0,K,12.0,14.0,5,1975.0,350,0.17718213551742604,0.011637149045558565,3,62700
2155,93,Ru,1.0,Re,3.0,K,12.0,14.0,5,2539.0,350,0.025996782306693066,0.003666339631821013,2,62700
2019,93,Ru,1.0,Re,3.0,K,12.0,14.0,1,2442.7114427860697,400,0.707539477269706,0.025198245371630335,3,62700
2022,93,Ru,1.0,Re,3.0,K,12.0,14.0,1,2442.7114427860697,450,0.9548104995472896,0.017861567203210724,3,62700
24,94,Ru,3.0,Os,1.0,K,12.0,0.0,1,2065.228426395939,250,0.1566730820754155,0.008079795946932403,4,63536
