,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,NH3,Space Velocity,Temperature,Concentration,Standard Error,nAveraged,Groups
500,44,Ru,2.0,Cr,2.0,K,12.0,6.0,1.007525870178739,2109.974874371859,250,0.24042816571299655,0.00430918552158726,7,24.0
503,44,Ru,2.0,Cr,2.0,K,12.0,6.0,1.007525870178739,2109.974874371859,300,0.3520005747227376,0.011695390054626147,5,24.0
505,44,Ru,2.0,Cr,2.0,K,12.0,6.0,1.007525870178739,2109.974874371859,350,0.7395186200849366,0.01832876047497721,6,24.0
508,44,Ru,2.0,Cr,2.0,K,12.0,6.0,1.007525870178739,2109.974874371859,400,1.0,0.0,6,24.0
524,44,Ru,2.0,Cr,2.0,K,12.0,6.0,1.007525870178739,2109.974874371859,450,1.0,0.0,3,24.0
378,45,Ru,1.0,Cr,3.0,K,12.0,9.0,0.9649280575539572,2153.137254901961,250,0.1014863676865468,0.007195661736864042,3,24.0
381,45,Ru,1.0,Cr,3.0,K,12.0,9.0,0.9649280575539572,2153.137254901961,300,0.24414354166180385,0.01585714631869983,3,24.0
384,45,Ru,1.0,Cr,3.0,K,12.0,9.0,0.9649280575539572,2153.137254901961,350,0.5305379605939112,0.014253718687381334,3,24.0
387,45,Ru,1.0,Cr,3.0,K,12.0,9.0,0.9649280575539572,2153.137254901961,400,0.9606225358494228,0.011009082664868637,3,24.0
390,45,Ru,1.0,Cr,3.0,K,12.0,9.0,0.9649280575539572,2153.137254901961,450,1.0,0.0,3,24.0
393,49,Ru,3.0,W,1.0,K,12.0,10.0,1.1480038948393383,2038.5175879396984,250,0.2971454206115378,0.00832473609567073,3,74.0
396,49,Ru,3.0,W,1.0,K,12.0,10.0,1.1480038948393383,2038.5175879396984,300,0.5667163695855216,0.012122561740337195,3,74.0
399,49,Ru,3.0,W,1.0,K,12.0,10.0,1.1480038948393383,2038.5175879396984,350,0.9533346862061705,0.022335455735881755,3,74.0
402,49,Ru,3.0,W,1.0,K,12.0,10.0,1.1480038948393383,2038.5175879396984,400,1.0,0.0,3,74.0
405,49,Ru,3.0,W,1.0,K,12.0,10.0,1.1480038948393383,2038.5175879396984,450,0.9936919217334169,0.0031566607736434036,3,74.0
408,50,Ru,2.0,W,2.0,K,12.0,11.0,1.0540069686411146,2233.7931034482763,250,0.20270248228159102,0.0021470848085497303,3,74.0
411,50,Ru,2.0,W,2.0,K,12.0,11.0,1.0540069686411146,2233.7931034482763,300,0.3829282099712125,0.020450405022192336,3,74.0
414,50,Ru,2.0,W,2.0,K,12.0,11.0,1.0540069686411146,2233.7931034482763,350,0.5430785246072548,0.008724730293089792,3,74.0
417,50,Ru,2.0,W,2.0,K,12.0,11.0,1.0540069686411146,2233.7931034482763,400,0.8576418927850863,0.00338155864603705,3,74.0
420,50,Ru,2.0,W,2.0,K,12.0,11.0,1.0540069686411146,2233.7931034482763,450,0.9809431947759691,0.005282335654456943,3,74.0
423,51,Ru,1.0,W,3.0,K,12.0,12.0,1.2126592855650722,1909.9646464646466,250,0.23438570986055443,0.0032909330179055345,3,74.0
426,51,Ru,1.0,W,3.0,K,12.0,12.0,1.2126592855650722,1909.9646464646466,300,0.2889398227961242,0.01228935304667692,3,74.0
429,51,Ru,1.0,W,3.0,K,12.0,12.0,1.2126592855650722,1909.9646464646466,350,0.37033040229401104,0.030009386502189022,3,74.0
432,51,Ru,1.0,W,3.0,K,12.0,12.0,1.2126592855650722,1909.9646464646466,400,0.4448230031552329,0.013155528010369708,3,74.0
435,51,Ru,1.0,W,3.0,K,12.0,12.0,1.2126592855650722,1909.9646464646466,450,0.6177601340445824,0.009540478486715642,3,74.0
438,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1.5233754512635371,2188.3,250,0.5635528336832674,0.0069123097488599985,3,20.0
441,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1.5233754512635371,2188.3,300,0.912947018917015,0.007073343561698774,3,20.0
444,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1.5233754512635371,2188.3,350,0.9659194299696843,0.0032187834589125046,3,20.0
447,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1.5233754512635371,2188.3,400,0.9486007900678507,0.0032779651437640756,3,20.0
450,55,Ru,3.0,Ca,1.0,K,12.0,13.0,1.5233754512635371,2188.3,450,0.9663091782065356,0.009241490417289467,3,20.0
453,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1.0728582866293033,1934.725490196079,250,0.15908070541539587,0.015574158254861541,3,20.0
456,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1.0728582866293033,1934.725490196079,300,0.6971633010227691,0.02241488406054186,3,20.0
459,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1.0728582866293033,1934.725490196079,350,0.9375890419343952,0.062410958065604746,3,20.0
462,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1.0728582866293033,1934.725490196079,400,1.0,0.0,2,20.0
464,56,Ru,2.0,Ca,2.0,K,12.0,14.0,1.0728582866293033,1934.725490196079,450,0.9917612939653767,0.008238706034623327,3,20.0
859,57,Ru,1.0,Ca,3.0,K,12.0,10.0,0.9106251076287242,2310.452261306533,250,0.1257792764286184,0.002874386421587477,3,20.0
851,57,Ru,1.0,Ca,3.0,K,12.0,10.0,0.9106251076287242,2310.452261306533,300,0.2624388022323234,0.028828091787593803,3,20.0
853,57,Ru,1.0,Ca,3.0,K,12.0,10.0,0.9106251076287242,2310.452261306533,350,0.6108983273333665,0.029285764369462113,6,20.0
856,57,Ru,1.0,Ca,3.0,K,12.0,10.0,0.9106251076287242,2310.452261306533,400,0.9529165409702074,0.013225288506009368,5,20.0
868,57,Ru,1.0,Ca,3.0,K,12.0,10.0,0.9106251076287242,2310.452261306533,450,0.9873824374923256,,1,20.0
928,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1.064773735581189,2248.308080808081,250,0.3344448384518006,0.011176144329777466,3,72.0
920,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1.064773735581189,2248.308080808081,300,0.7924969314097617,0.040118523038053175,3,72.0
922,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1.064773735581189,2248.308080808081,350,0.8479144869471379,0.03170397757039445,6,72.0
925,58,Ru,3.0,Hf,1.0,K,12.0,14.0,1.064773735581189,2248.308080808081,400,0.8945946523411603,0.025056977951285368,3,72.0
935,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1.020408163265306,2234.9884526558894,250,0.2686466104014009,0.007179835934997186,3,72.0
938,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1.020408163265306,2234.9884526558894,300,0.7993198581801622,0.004969793212047215,3,72.0
941,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1.020408163265306,2234.9884526558894,350,0.9977364186230336,0.002263581376966399,3,72.0
944,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1.020408163265306,2234.9884526558894,400,0.9942198404319157,0.00474301252145487,3,72.0
947,59,Ru,2.0,Hf,2.0,K,12.0,0.0,1.020408163265306,2234.9884526558894,450,0.9956219847620166,0.0032818133966782868,3,72.0
950,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1.0170940170940177,2320.496083550913,250,0.3430932982922705,0.00439282073901413,3,72.0
953,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1.0170940170940177,2320.496083550913,300,0.8154847981309296,0.005644400826195095,3,72.0
956,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1.0170940170940177,2320.496083550913,350,1.0,0.0,3,72.0
959,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1.0170940170940177,2320.496083550913,400,1.0,0.0,3,72.0
962,60,Ru,1.0,Hf,3.0,K,12.0,1.0,1.0170940170940177,2320.496083550913,450,1.0,0.0,3,72.0
1070,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1.02787456445993,2271.047227926078,250,0.5346154446631376,0.01996583961297617,3,21.0
1073,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1.02787456445993,2271.047227926078,300,0.997743010169689,0.002256989830310937,3,21.0
1076,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1.02787456445993,2271.047227926078,350,1.0,0.0,3,21.0
1079,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1.02787456445993,2271.047227926078,400,1.0,0.0,3,21.0
1082,61,Ru,3.0,Sc,1.0,K,12.0,10.0,1.02787456445993,2271.047227926078,450,1.0,0.0,3,21.0
1085,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1.040372670807454,2552.3503737520696,250,0.2789299908040418,0.004125690361979004,3,21.0
1088,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1.040372670807454,2552.3503737520696,300,0.5915653232479702,0.0026545231198460235,3,21.0
1091,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1.040372670807454,2552.3503737520696,350,0.9261104386879627,0.008283680124871155,3,21.0
1094,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1.040372670807454,2552.3503737520696,400,0.9491874486653197,0.016427224684170794,3,21.0
1097,62,Ru,2.0,Sc,2.0,K,12.0,11.0,1.040372670807454,2552.3503737520696,450,0.9374617750397465,0.012320184631012856,3,21.0
1100,63,Ru,1.0,Sc,3.0,K,12.0,12.0,0.9688361246555016,1868.82146439318,250,0.1619056462518121,0.009749883416620033,3,21.0
1103,63,Ru,1.0,Sc,3.0,K,12.0,12.0,0.9688361246555016,1868.82146439318,300,0.5250619025466591,0.01526123580725583,3,21.0
1106,63,Ru,1.0,Sc,3.0,K,12.0,12.0,0.9688361246555016,1868.82146439318,350,0.8412951055748336,0.008624858793746344,3,21.0
1109,63,Ru,1.0,Sc,3.0,K,12.0,12.0,0.9688361246555016,1868.82146439318,400,0.9426241094039978,0.026461475252114085,3,21.0
1112,63,Ru,1.0,Sc,3.0,K,12.0,12.0,0.9688361246555016,1868.82146439318,450,0.9701925443842848,0.01800374928305463,3,21.0
1115,64,Ru,3.0,Sc,1.0,K,12.0,13.0,1.0747663551401878,2548.2590564236552,250,0.37098856434419775,0.01444638822823878,3,21.0
1118,64,Ru,3.0,Sc,1.0,K,12.0,13.0,1.0747663551401878,2548.2590564236552,300,0.7772525349906338,0.010154992895193421,3,21.0
1121,64,Ru,3.0,Sc,1.0,K,12.0,13.0,1.0747663551401878,2548.2590564236552,350,0.9323716568161563,0.007283854441277646,3,21.0
1124,64,Ru,3.0,Sc,1.0,K,12.0,13.0,1.0747663551401878,2548.2590564236552,400,0.9201500219314265,0.015891677468353557,3,21.0
1127,64,Ru,3.0,Sc,1.0,K,12.0,13.0,1.0747663551401878,2548.2590564236552,450,0.9438137823601668,0.02257390285657606,3,21.0
1130,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1.152512998266899,2279.15,250,0.43321450411611934,0.036147678250558514,4,45.0
1132,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1.152512998266899,2279.15,300,0.8134738524018451,0.03832759302038476,4,45.0
1138,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1.152512998266899,2279.15,350,0.9940412353519896,0.0027059817953897568,3,45.0
1141,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1.152512998266899,2279.15,400,0.990959522201654,0.0045205037021530305,3,45.0
1144,65,Ru,2.0,Rh,2.0,K,12.0,0.0,1.152512998266899,2279.15,450,0.9845466529551978,0.005017395582928028,3,45.0
1147,66,Ru,1.0,Rh,3.0,K,12.0,1.0,0.9416666666666664,2381.9095477386936,250,0.20377694978593847,0.02454750830051123,4,45.0
1149,66,Ru,1.0,Rh,3.0,K,12.0,1.0,0.9416666666666664,2381.9095477386936,300,0.5863479800776563,0.04342196354312626,4,45.0
1155,66,Ru,1.0,Rh,3.0,K,12.0,1.0,0.9416666666666664,2381.9095477386936,350,1.0,0.0,3,45.0
1158,66,Ru,1.0,Rh,3.0,K,12.0,1.0,0.9416666666666664,2381.9095477386936,400,1.0,0.0,3,45.0
1161,66,Ru,1.0,Rh,3.0,K,12.0,1.0,0.9416666666666664,2381.9095477386936,450,1.0,0.0,3,45.0
1164,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1.0482019892884462,2594.2964824120604,250,0.13989290311948158,0.013874827434854438,4,30.0
1166,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1.0482019892884462,2594.2964824120604,300,0.512376181107476,0.03594160099517826,4,30.0
1172,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1.0482019892884462,2594.2964824120604,350,0.8196449673889966,0.008564285539876182,3,30.0
1175,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1.0482019892884462,2594.2964824120604,400,0.9915560710213698,0.004225847232949227,3,30.0
1178,67,Ru,3.0,Zn,1.0,K,12.0,2.0,1.0482019892884462,2594.2964824120604,450,0.9874856347201096,0.004330947442269893,3,30.0
1181,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1.0711610486891383,2636.625,250,0.09098822512592367,0.011524438951380377,4,30.0
1183,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1.0711610486891383,2636.625,300,0.19739711524783285,0.01830011078153645,4,30.0
1189,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1.0711610486891383,2636.625,350,0.5508829780428409,0.007434288795322848,3,30.0
1192,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1.0711610486891383,2636.625,400,0.950452482591559,0.004156717462886115,3,30.0
1195,68,Ru,2.0,Zn,2.0,K,12.0,3.0,1.0711610486891383,2636.625,450,0.9634716082053641,0.005008580273280842,3,30.0
1198,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1.0455764075067029,2221.130653266332,250,0.08462297988013084,0.004365791560563826,4,30.0
1200,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1.0455764075067029,2221.130653266332,300,0.054859118205534116,0.05485911820553411,4,30.0
1206,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1.0455764075067029,2221.130653266332,350,0.4989454515781198,0.007548255749214178,3,30.0
1209,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1.0455764075067029,2221.130653266332,400,0.988380498403829,0.010042198718191576,3,30.0
1212,69,Ru,1.0,Zn,3.0,K,12.0,4.0,1.0455764075067029,2221.130653266332,450,1.0,0.0,3,30.0
1215,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1.089989888776542,1963.0904522613064,250,0.47100721958866093,0.10380652094305177,4,38.0
1217,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1.089989888776542,1963.0904522613064,300,0.8423630161645494,0.047738584506676174,4,38.0
1223,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1.089989888776542,1963.0904522613064,350,0.9970481268292125,0.0029518731707874517,3,38.0
1226,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1.089989888776542,1963.0904522613064,400,1.0,0.0,3,38.0
1229,73,Ru,3.0,Sr,1.0,K,12.0,5.0,1.089989888776542,1963.0904522613064,450,0.9942532585186495,0.005098798681320979,3,38.0
1232,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1.020408163265306,2419.375,250,0.37922637971177675,0.09572638032203393,4,38.0
1234,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1.020408163265306,2419.375,300,0.6886020921300535,0.09862959778435502,4,38.0
1240,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1.020408163265306,2419.375,350,1.0,0.0,3,38.0
1243,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1.020408163265306,2419.375,400,1.0,0.0,3,38.0
1246,74,Ru,2.0,Sr,2.0,K,12.0,6.0,1.020408163265306,2419.375,450,1.0,0.0,3,38.0
1249,75,Ru,1.0,Sr,3.0,K,12.0,7.0,0.9273897058823533,2159.5979899497493,250,0.04950121583024065,0.026272694770857374,4,38.0
1251,75,Ru,1.0,Sr,3.0,K,12.0,7.0,0.9273897058823533,2159.5979899497493,300,0.7065898397618652,0.07427824119758016,4,38.0
1257,75,Ru,1.0,Sr,3.0,K,12.0,7.0,0.9273897058823533,2159.5979899497493,350,0.9530922411770472,0.005100160674696929,3,38.0
1260,75,Ru,1.0,Sr,3.0,K,12.0,7.0,0.9273897058823533,2159.5979899497493,400,0.9927286735101685,0.007271326489831642,3,38.0
1263,75,Ru,1.0,Sr,3.0,K,12.0,7.0,0.9273897058823533,2159.5979899497493,450,1.0,0.0,3,38.0
1266,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1.0316139767054913,2362.1393034825874,250,0.17522414925857832,0.0044901985159091105,4,83.0
1268,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1.0316139767054913,2362.1393034825874,300,0.25149364923644846,0.023283045522046575,4,83.0
1274,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1.0316139767054913,2362.1393034825874,350,0.34312425649808737,0.00566808916826334,3,83.0
1277,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1.0316139767054913,2362.1393034825874,400,0.5416765744430103,0.0030402175186832908,3,83.0
1280,76,Ru,3.0,Bi,1.0,K,12.0,9.0,1.0316139767054913,2362.1393034825874,450,0.8668179346303692,0.009201537774009812,3,83.0
1283,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1.063311688311689,2433.2000000000007,250,0.16867450349553653,0.011762762803738393,4,83.0
1285,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1.063311688311689,2433.2000000000007,300,0.04936463794109434,0.04560654813751878,4,83.0
1291,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1.063311688311689,2433.2000000000007,350,0.36022129054025664,0.010547202799079463,3,83.0
1294,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1.063311688311689,2433.2000000000007,400,0.6324787654450131,0.004080913620110675,3,83.0
1297,77,Ru,2.0,Bi,2.0,K,12.0,10.0,1.063311688311689,2433.2000000000007,450,0.9069068399330981,0.004218632029054072,3,83.0
1300,78,Ru,1.0,Bi,3.0,K,12.0,11.0,0.9090909090909084,2659.358852154718,250,0.0,0.0,4,83.0
1302,78,Ru,1.0,Bi,3.0,K,12.0,11.0,0.9090909090909084,2659.358852154718,300,0.15121255925316576,0.0539824458774574,4,83.0
1308,78,Ru,1.0,Bi,3.0,K,12.0,11.0,0.9090909090909084,2659.358852154718,350,0.168697438436943,0.008051316664931635,3,83.0
1311,78,Ru,1.0,Bi,3.0,K,12.0,11.0,0.9090909090909084,2659.358852154718,400,0.4558780213526778,0.010735884362413699,3,83.0
1314,78,Ru,1.0,Bi,3.0,K,12.0,11.0,0.9090909090909084,2659.358852154718,450,0.7980528696142676,0.009377194288078742,3,83.0
1317,82,Ru,3.0,Pd,1.0,K,12.0,13.0,0.9497206703910609,2474.675,250,0.16197945150678295,0.05016102097183581,4,46.0
1319,82,Ru,3.0,Pd,1.0,K,12.0,13.0,0.9497206703910609,2474.675,300,0.39152727500792783,0.07852245697598569,4,46.0
1325,82,Ru,3.0,Pd,1.0,K,12.0,13.0,0.9497206703910609,2474.675,350,0.980309151680227,0.0076594715766620984,3,46.0
1328,82,Ru,3.0,Pd,1.0,K,12.0,13.0,0.9497206703910609,2474.675,400,0.9801231116336281,0.008382329765686423,3,46.0
1331,82,Ru,3.0,Pd,1.0,K,12.0,13.0,0.9497206703910609,2474.675,450,0.9507971457754856,0.004256113211011608,3,46.0
1335,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1.0795660036166363,2184.35,250,0.10094428580358342,0.032461255570891155,4,46.0
1337,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1.0795660036166363,2184.35,300,0.2971614432058214,0.04063266082982924,4,46.0
1343,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1.0795660036166363,2184.35,350,0.9390123453841518,0.008285145150667975,3,46.0
1346,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1.0795660036166363,2184.35,400,0.9848895552907999,0.008546567030714755,3,46.0
1334,83,Ru,2.0,Pd,2.0,K,12.0,14.0,1.0795660036166363,2184.35,450,0.9964003358426821,0.0035996641573179944,2,46.0
1395,84,Ru,1.0,Pd,3.0,K,12.0,3.0,0.95,2900.6565656565663,250,0.042990296375045735,0.01316497427731572,4,46.0
1399,84,Ru,1.0,Pd,3.0,K,12.0,3.0,0.95,2900.6565656565663,300,0.09868728205311315,0.006637987577731027,2,46.0
1401,84,Ru,1.0,Pd,3.0,K,12.0,3.0,0.95,2900.6565656565663,350,0.11978795960210975,0.012547243989053564,3,46.0
1548,84,Ru,1.0,Pd,3.0,K,12.0,3.0,5.0,846.0,350,0.0890431937786073,0.015026590381204154,3,46.0
1551,84,Ru,1.0,Pd,3.0,K,12.0,3.0,5.0,1410.0,350,0.07582425496544,0.0053778375947828635,3,46.0
