,Atomic Number_wt-mad,Atomic Number_wt-mean,Atomic Volume_wt-mad,Atomic Volume_wt-mean,Atomic Weight_wt-mad,Atomic Weight_wt-mean,Bi Loading,Boiling Temperature_wt-mad,Boiling Temperature_wt-mean,Ca Loading,Co Loading,Conductivity_wt-mad,Conductivity_wt-mean,Covalent Radius_wt-mad,Covalent Radius_wt-mean,Cr Loading,Cu Loading,Density_wt-mad,Density_wt-mean,Dipole Polarizability_wt-mad,Dipole Polarizability_wt-mean,Eighth Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Electron Affinity_wt-mad,Electron Affinity_wt-mean,Electronegativity_wt-mad,Electronegativity_wt-mean,Element Dictionary,Fe Loading,Fifth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,First Ionization Energy_wt-mad,First Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fusion Enthalpy_wt-mad,Fusion Enthalpy_wt-mean,GS Bandgap_wt-mad,GS Bandgap_wt-mean,GS Energy_wt-mad,GS Energy_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Fusion_wt-mad,Heat Fusion_wt-mean,Hf Loading,In Loading,Ir Loading,IsAlkali_wt-mad,IsAlkali_wt-mean,IsDBlock_wt-mad,IsDBlock_wt-mean,IsFBlock_wt-mad,IsFBlock_wt-mean,IsMetal_wt-mad,IsMetal_wt-mean,IsMetalloid_wt-mad,IsMetalloid_wt-mean,IsNonmetal_wt-mad,IsNonmetal_wt-mean,K Loading,Measured Conversion,Melting Temperature_wt-mad,Melting Temperature_wt-mean,Mendeleev Number_wt-mad,Mendeleev Number_wt-mean,Mg Loading,Mn Loading,Mo Loading,Ni Loading,Number Unfilled Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Valence Electrons_wt-mad,Number Valence Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Valance Electrons_wt-mad,Number d-shell Valance Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Valance Electrons_wt-mad,Number f-shell Valance Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Valance Electrons_wt-mad,Number p-shell Valance Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Valance Electrons_wt-mad,Number s-shell Valance Electrons_wt-mean,Os Loading,Pd Loading,Periodic Table Column_wt-mad,Periodic Table Column_wt-mean,Periodic Table Row_wt-mad,Periodic Table Row_wt-mean,Polarizability_wt-mad,Polarizability_wt-mean,Pt Loading,Re Loading,Rh Loading,Ru Loading,Sc Loading,Second Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sr Loading,Third Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,W Loading,XRD 2TH 11.10,XRD 2TH 12.79,XRD 2TH 16.19,XRD 2TH 17.50,XRD 2TH 18.15,XRD 2TH 18.94,XRD 2TH 19.60,XRD 2TH 21.84,XRD 2TH 26.74,XRD 2TH 28.61,XRD 2TH 32.10,XRD 2TH 33.59,XRD 2TH 34.26,XRD 2TH 35.35,XRD 2TH 36.03,XRD 2TH 37.12,XRD 2TH 38.49,XRD 2TH 40.14,XRD 2TH 40.83,XRD 2TH 46.27,XRD 2TH 50.54,XRD 2TH 53.42,Y Loading,Zn Loading,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,ammonia_concentration,n_averaged,n_elements,phi_wt-mad,phi_wt-mean,reactor_number,space_velocity,standard error,temperature,predictions
67_300_0,755.625,24.375,2105.6885310666753,60.380230195,3587.5441056600002,52.360600000000005,0.0,3709103.229166666,1677.0625,0.0,0.0,11861.322916666666,106.0625,29398.25,187.25,0.0,0.0,23133230.25,3407.625,542.0017018483354,33.8589583333125,20889.6354,127.035,2759.158125,55.293749999999996,1.76000625,1.130625,"dict_items([('Ru', 3), ('Zn', 1.0), ('K', 12)])",0.0,5549.224224999999,67.1575,36.72511777667731,5.2227286625,2971.356225,49.394999999999996,150.83599987500003,9.428625,0.0,0.0,-10.089300645696479,-2.6246485738125003,0.29348412500000004,0.636625,745.6555937500002,28.298125000000002,150.83599987500003,9.428625,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.512376181,950871.945175,784.5025,728.0,17.0625,0.0,0.0,0.0,0.0,2.5,1.5,21.0,3.0,0.5625,0.5625,10.979166666666668,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,21.0,3.0,18.145833333333332,4.1875,542.0017018483354,33.8589583333125,0.0,0.0,0.0,0.03,0.0,619.0372320369187,27.987774375,12143.4301,96.545,8430.810000000001,81.30000000000001,0.0,1602.6478165624999,42.175312500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12364947916666666,0.3728125,3.039391666666666,1.9524999999999997,0.20642343750000003,0.5315625,1.660128645833333,1.4209375,9.192617187499998,3.3734375,1.048201989,4.0,3.0,11.578645833333333,2.9562500000000003,2.0,2594.296482,0.035941601000000004,300.0,0.23100913745000018
16_300_0,716.8333333333334,23.375,2026.9596455166925,60.06062555250001,3388.4970876224997,49.900725,0.0,4982034.375,1726.875,0.0,0.0,29292.770833333336,141.625,29982.333333333336,187.0,0.0,0.02,24384591.5,3303.25,676.131975,34.39125,21965.8404,136.91,5698.242083333333,63.762499999999996,1.8491,1.1275,"dict_items([('Ru', 2), ('Cu', 2.0), ('K', 12)])",0.0,5846.123099999999,71.97,33.29464832211373,5.141357475,3126.1089749999996,52.855,150.39812500000002,8.275,0.0,0.0,-11.329941413575472,-2.4325658335,0.29698749999999996,0.645625,735.7670833333334,28.262500000000003,150.39812500000002,8.275,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.21236674100000003,1072448.505625,747.99375,707.25,17.25,0.0,0.0,0.0,0.0,2.75,1.375,20.833333333333336,3.125,0.375,0.375,12.041666666666668,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,20.833333333333336,3.125,17.875,4.125,676.131975,34.39125,0.0,0.0,0.0,0.02,0.0,649.14140124,28.35405,13539.3126,105.545,8847.410000000002,87.42500000000001,0.0,1574.8380916250003,42.518375000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11955312499999998,0.35687499999999994,3.084599999999999,1.94,0.21363645833333336,0.531875,1.673321875,1.408125,9.302207291666665,3.348125,1.0499092559999998,6.0,3.0,11.772291666666668,2.91875,1.0,2176.45,0.036547505,300.0,0.3021262874200003
50_300_0,1324.3333333333333,29.0,2125.288953251305,60.56422461375001,7013.4269603474995,64.937475,0.0,7730265.375,2055.375,0.0,0.0,6694.75,91.5,32491.083333333336,190.75,0.0,0.0,49736994.0,4594.5,746.0631,35.01,17990.8608,116.16,4473.728749999999,58.787499999999994,2.1251000000000007,1.185,"dict_items([('Ru', 2), ('W', 2.0), ('K', 12)])",0.0,5124.5067,61.995,33.64276547666435,5.1585637250000005,2782.5210749999997,45.6825,407.5534937500001,13.113750000000001,0.0,0.0,-27.84175514834719,-3.5923340584999996,0.2306593333333333,0.614,733.6135375000001,28.24125,407.5534937500001,13.113750000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.38292821,2301683.461058333,1040.1475,572.9166666666666,15.625,0.0,0.0,0.0,0.0,7.333333333333333,2.0,41.08333333333333,4.25,3.375,1.125,5.041666666666666,1.375,0.0,0.0,8.166666666666668,1.75,0.0,0.0,0.0,0.0,0.5833333333333334,0.875,1.5,1.125,0.0,0.0,12.5,2.5,21.875,4.375,746.0631,35.01,0.0,0.0,0.0,0.02,0.0,598.2522333333334,27.83,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1408.0222785,37.913250000000005,0.02,0.0012209862032147266,0.0010395624435492268,0.06487554996845557,0.10705546402908568,0.1322844486488504,0.15382032646509464,0.15680062352141122,0.10398498264494467,0.018261130893176748,0.2535421454105324,0.002434520035613657,-9.137010109486546e-05,0.001998744231765737,0.11446430550112995,0.016917963502894384,0.02607994819915196,0.01832996347561201,0.028013339997713292,1.1920736566620178,0.06663045086767362,0.05693510084889058,0.02049094864324447,0.0,0.0,0.191525,0.4075,3.389973958333333,1.9843749999999998,0.21705833333333335,0.5337500000000001,1.8882302083333335,1.450625,10.33935,3.435,1.054006969,3.0,3.0,12.294374999999999,2.9625,11.0,2233.793103,0.020450405,300.0,0.4768074799800003
37_300_0,705.8333333333333,24.0625,2039.112692508264,60.193168991250005,3362.8515194459897,51.707977812500005,0.0,4541473.8125,1749.1875,0.0,0.0,7524.008356249999,99.300625,30632.166666666664,188.3125,0.0,0.0,23650354.0,3428.25,722.0754333333333,34.81,22415.5657125,128.31625,2759.158125,55.293749999999996,1.712797916666667,1.1243750000000001,"dict_items([('Ru', 3), ('Mn', 1.0), ('K', 12)])",0.0,5157.2956,66.52,32.53119875132939,5.100217475,2740.1085375000002,48.8825,175.74884375,9.793750000000001,0.0,0.0,-20.026884381387777,-3.1109339072499997,0.31558954166666664,0.6423125,755.977625,28.356250000000003,175.74884375,9.793750000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.366017921,1243777.767725,836.1475,592.0,16.0,0.0,0.01,0.0,0.0,6.041666666666667,1.8125,14.333333333333332,2.6875,2.333333333333333,0.875,6.5,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,14.333333333333332,2.6875,18.145833333333332,4.1875,722.0754333333333,34.81,0.0,0.0,0.0,0.03,0.0,594.2517583333333,27.8425,11319.661226531249,95.6201875,7851.187500000001,80.525,0.0,1503.9072916666664,41.796875,0.0,0.004048479063500858,0.05915601819396035,0.05177637468490266,0.0970860360561098,0.15856275500244205,0.1434151920650447,0.1508304627473607,0.08967861963620963,0.015541169367118798,0.9734453760381804,0.0048921173829041395,0.0047273970616431,0.004934501182923547,0.05688607819826943,0.04978392498130453,0.04647390109155771,0.042539151680800816,0.046354584419423084,0.22505152604896014,0.09940408798944056,0.08649998893905099,0.027916353006908992,0.0,0.0,0.1316875,0.37625,3.1671749999999994,1.9631249999999998,0.20642343750000003,0.5315625,1.7536640625,1.4315625,9.635254687500002,3.3946875,0.969141755,6.0,3.0,12.011770833333337,2.9781250000000004,14.0,2048.075,0.031951098,300.0,0.48851996865500036
69_300_0,701.375,22.625,2112.828111956936,60.58495636000001,3281.876654535,47.89935,0.0,2812548.854166666,1271.6875,0.0,0.0,11847.34375,105.9375,28927.25,184.25,0.0,0.0,18695139.416666668,2753.875,534.5905722194113,31.9318749999375,24466.2054,148.785,2127.299375,42.631249999999994,1.6529854166666667,1.061875,"dict_items([('Ru', 1), ('Zn', 3.0), ('K', 12)])",0.0,6402.378974999999,77.4825,38.512685160600135,5.4769410375000005,3418.0071,56.81999999999999,87.80119379166668,5.4883750000000004,0.0,0.0,-6.267041769192322,-1.6303193669375,0.302127875,0.6553749999999999,750.0362812500002,28.464375000000004,87.80119379166668,5.4883750000000004,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.054859118,660835.714875,545.2125,797.3333333333333,18.6875,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,24.5,3.5,0.1875,0.1875,13.104166666666668,2.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.8125,1.5833333333333335,1.1875,0.0,0.0,24.5,3.5,17.604166666666664,4.0625,534.5905722194113,31.9318749999375,0.0,0.0,0.0,0.01,0.0,622.3670888607562,28.138323125,14250.2451,113.295,9830.760000000002,94.80000000000001,0.0,1656.0990976875,43.5819375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11224843749999999,0.33843749999999995,2.9615583333333326,1.9024999999999999,0.20278281250000002,0.5221875,1.6126651041666666,1.3803125,8.945664062499999,3.2828125,1.045576408,4.0,3.0,10.9421875,2.79375,4.0,2221.130653,0.054859118,300.0,0.2322852536450003
82_300_0,921.9583333333334,25.375,2094.377934609603,60.34852410375,4514.670110160001,54.9256,0.0,5230714.5625,1805.5625,0.0,0.0,10030.43,103.3,30632.166666666664,188.3125,0.0,0.0,31248267.604166668,3712.8125,663.1772249999999,34.5225,17990.8608,116.16,3976.47,58.64999999999999,2.0271000000000003,1.165,"dict_items([('Ru', 3), ('Pd', 1.0), ('K', 12)])",0.0,5124.5067,61.995,34.44307617327839,5.156647475,2782.5210749999997,45.6825,192.85338437500002,10.033125000000002,0.0,0.0,-14.7523647852383,-2.86825948975,0.259209125,0.627625,752.1998000000001,28.335,192.85338437500002,10.033125000000002,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.391527275,1360636.9126625,855.463125,670.5416666666667,16.625,0.0,0.0,0.0,0.0,2.5,1.5,18.208333333333332,2.875,0.5625,0.5625,10.979166666666668,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,0.625,0.9375,0.0,0.01,18.208333333333332,2.875,19.833333333333336,4.25,663.1772249999999,34.5225,0.0,0.0,0.0,0.03,0.0,634.7810708333334,28.079375,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1491.9769681666667,41.750750000000004,0.0,-0.004066715503929494,-0.0008565720957958242,0.08089848339856474,0.09355299310002962,0.11984928853367666,0.1366751273501321,0.14423872348084696,0.11272261448357213,0.029580344232176405,0.3868584088174911,0.02538911262022661,0.017010113852361508,0.03445643703112042,0.033473745646579345,0.05512995085060037,0.040332749857227686,0.026908529567109603,0.027621836143213487,0.19050068430939884,0.09847918156473193,0.0471664574316033,0.0295999376722282,0.0,0.0,0.1573291666666667,0.38687499999999997,3.2733125,1.9718749999999998,0.2165484375,0.5346875,1.8036703125000002,1.4371875,9.937417187499998,3.4090625,0.94972067,4.0,3.0,13.277395833333335,3.0406250000000004,13.0,2474.675,0.078522457,300.0,0.4239377126050003
57_300_0,574.0833333333334,20.75,2902.262026319912,65.78461327937501,2592.8565439725,43.155225,0.0,3317219.5,1379.875,0.03,0.0,17082.8125,121.875,34015.625,194.375,0.0,0.0,8401387.333333332,1705.75,991.1419193860244,37.847499999375,21717.51855,143.76749999999998,2183.5034312499997,43.075624999999995,1.2596,0.94,"dict_items([('Ru', 1), ('Ca', 3.0), ('K', 12)])",0.0,6505.762725,77.83875,28.869573018234846,4.861746225,3736.16660625,58.295625,95.04493645833332,5.764375,0.0,0.0,-7.193870728350249,-1.7631311763125002,0.38528845833333336,0.7039375,757.8315350625,28.5654375,95.04493645833332,5.764375,0.0,0.0,0.0,0.625,0.9375,0.020833333333333332,0.0625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.26243880199999997,844711.995225,624.3975,155.375,7.0625,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,5.958333333333333,1.625,0.1875,0.1875,1.0208333333333335,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.8125,1.5833333333333335,1.1875,0.0,0.0,5.958333333333333,1.625,17.604166666666664,4.0625,991.1419193860244,37.847499999375,0.0,0.0,0.0,0.01,0.0,542.2740764599,26.9959475,13709.0076,112.02000000000001,9882.955162500002,94.94625000000002,0.0,1906.2160865381252,45.68008125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142825,0.36937499999999995,3.5597291666666657,2.01875,0.23330781250000004,0.5446875,1.9678734375,1.4740625,10.821897395833332,3.4928125000000003,0.910625108,3.0,3.0,8.510625,2.503125,10.0,2310.452261,0.028828092000000003,300.0,0.59888814861
61_300_0,666.75,23.8125,2326.3740476322114,60.992956894375006,3152.300913348678,51.084094500000006,0.0,5126955.166666666,1797.25,0.0,0.0,7827.6466666666665,99.8,32913.25,190.25,0.0,0.0,17010404.9375,3147.9375,831.9036833333333,35.335,19724.195212500003,126.04124999999999,3156.038333333333,56.425,1.6242500000000004,1.1125,"dict_items([('Ru', 3), ('Sc', 1.0), ('K', 12)])",0.0,5902.4089593749995,67.723125,30.71586131509528,5.04568435,3378.5043973237503,50.2755875,180.99785937500002,9.868125000000001,0.0,0.0,-16.246094777959904,-2.93999314725,0.337542875,0.647875,747.0962916666667,28.306250000000002,180.99785937500002,9.868125000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.99774301,1355237.9250166665,854.585,313.5416666666667,13.4375,0.0,0.0,0.0,0.0,9.625,2.0625,9.75,2.4375,4.5,1.125,3.6666666666666665,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,9.75,2.4375,18.145833333333332,4.1875,831.9036833333333,35.335,0.0,0.0,0.0,0.03,0.01,564.2713691490187,27.664985625,12368.465100000001,96.795,8557.346200000002,81.46750000000002,0.0,1361.366201471575,41.23991625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14360416666666664,0.38125,3.3956125000000004,1.9818749999999998,0.22062760416666666,0.5359375000000001,1.8821286458333337,1.4459375,10.3348546875,3.4278125,1.027874564,3.0,3.0,10.548020833333332,2.903125,10.0,2271.047228,0.00225699,300.0,0.784447948170001
106_300_0,954.3333333333334,25.5625,2350.7789609027323,61.060041096875004,4713.037151164166,55.450475,0.0,4549675.0,1749.875,0.0,0.0,10437.534166666666,103.925,30851.166666666664,188.5,0.0,0.0,23399060.666666668,3418.25,725.3016833333332,34.825625,17990.8608,116.16,3399.353333333333,57.099999999999994,1.8220000000000005,1.13875,"dict_items([('Ru', 3), ('In', 1.0), ('K', 12)])",0.0,5124.5067,61.995,29.129776213033264,4.997238725000001,2818.5986624999996,49.0575,135.4861145,9.192562500000001,0.0,0.0,-11.722791387741667,-2.7138237016250004,0.25662641666666663,0.6269374999999999,760.6510000000001,28.3825,135.4861145,9.192562500000001,0.0,0.01,0.0,0.25,0.75,0.0625,0.1875,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.240107882,863637.6870999999,768.069375,778.875,17.4375,0.0,0.0,0.0,0.0,6.041666666666667,1.8125,22.458333333333332,3.0625,0.5625,0.5625,10.979166666666668,1.9375,0.0,0.0,0.0,0.0,0.5208333333333334,0.3125,0.020833333333333332,0.0625,0.625,0.9375,1.4166666666666665,1.0625,0.0,0.0,22.458333333333332,3.0625,19.833333333333336,4.25,725.3016833333332,34.825625,0.0,0.0,0.0,0.03,0.0,628.7581123143751,28.04439375,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1413.3403390000003,41.444500000000005,0.0,0.06527381144164926,0.06324339623589396,0.21130280866053747,0.054337164310302534,0.07823858073345329,0.0887506166726721,0.09507156653746653,0.12368548709659676,0.16648805004436024,0.6693624006239172,0.20319905016878612,0.1284537672671507,0.14959739941118222,0.18785854873522276,0.31645715235362354,0.21850238986288484,0.14777000661722614,0.1144469964833964,0.2729664964510249,0.3753413167927273,0.060844249136441625,0.07486829328312908,0.0,0.0,0.1511875,0.38437499999999997,3.07685,1.955625,0.19242343750000002,0.5271875,1.7260286458333332,1.4284375,9.413333854166666,3.3840624999999998,1.037277147,3.0,3.0,11.333437500000002,2.94375,11.0,2401.133005,0.032394592,300.0,0.3496803383300001
90_300_0,1467.0833333333333,31.4375,2084.636742708867,60.38674387375001,7941.935416691251,71.6812875,0.0,6540040.833333334,1931.875,0.0,0.0,13652.125,111.75,30676.041666666668,187.8125,0.0,0.0,67338814.41666666,5645.125,693.8874749999999,34.4475,17990.8608,116.16,7110.928541666666,70.94375,2.0271000000000003,1.165,"dict_items([('Ru', 1), ('Ir', 3.0), ('K', 12)])",0.0,5124.5067,61.995,37.18099372832798,5.3968449750000005,2782.5210749999997,45.6825,324.71018020833327,11.873125,0.0,0.0,-19.503817208395084,-3.05691527975,0.2278977083333333,0.6071875,745.8571999999999,28.410000000000004,324.71018020833327,11.873125,0.0,0.0,0.03,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.16996720699999998,1759495.9702249998,928.8975,674.3333333333333,17.0,0.0,0.0,0.0,0.0,4.166666666666666,1.5625,59.333333333333336,5.5625,1.5,0.75,8.166666666666668,1.75,0.0,0.0,12.25,2.625,0.0,0.0,0.0,0.0,0.5416666666666666,0.8125,1.5833333333333335,1.1875,0.0,0.0,17.625,2.9375,22.1875,4.4375,693.8874749999999,34.4475,0.0,0.0,0.0,0.01,0.0,599.31015,24.77,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1341.9398497500001,36.133875,0.0,0.037741858113053486,0.0373927508555423,0.1030835204675818,0.127129911513641,0.13980089530083306,0.15133521379759496,0.16055488641414864,0.11551666318527427,0.04550386579553538,0.3609893269332168,0.028226714030896626,0.008977770077346797,0.027398592715062262,0.1226271123980172,0.09746350686490116,0.05202686742095803,0.03802422015294888,0.033157996644687014,0.16705644296465713,0.1159578905663083,0.08238845365967377,0.04581741896100396,0.0,0.0,0.18137350000000002,0.40425,3.349787333333333,1.9789999999999999,0.21985931250000001,0.5349375000000001,1.8508067708333331,1.4440625,10.181328895833335,3.4230625000000003,0.93,2.0,3.0,13.488749999999998,3.065625,10.0,2540.703518,0.013594981,300.0,0.308365381335
74_300_0,824.8333333333333,24.5,3160.0004804343434,65.49727415875,4017.4244194308335,52.909975,0.0,3634987.5,1533.75,0.0,0.0,8150.4275,95.925,35337.333333333336,194.875,0.0,0.0,13303184.0,2517.0,961.8858916666666,36.81625,18217.309025000002,131.4475,2557.751370833333,49.591249999999995,1.3349125000000002,1.00875,"dict_items([('Ru', 2), ('Sr', 2.0), ('K', 12)])",0.0,5471.9878499999995,70.945,28.340519217578603,4.887416225000001,3113.2661625,52.8075,120.94794375000002,7.50375,0.0,0.0,-8.713142882573123,-2.1828356810000002,0.27570358333333334,0.63575,765.7834375,28.556250000000002,120.94794375000002,7.50375,0.0,0.0,0.0,0.5833333333333334,0.875,0.041666666666666664,0.125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.688602092,944499.7964749999,709.5225,228.91666666666666,10.25,0.0,0.0,0.0,0.0,2.0833333333333335,1.25,7.333333333333333,2.0,0.375,0.375,2.041666666666667,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.875,1.5,1.125,0.0,0.0,7.333333333333333,2.0,19.833333333333336,4.25,961.8858916666666,36.81625,0.0,0.0,0.0,0.02,0.0,538.6682124587501,27.1962625,11336.727600000002,101.42,8169.090000000001,85.9,0.02,1690.1000223333333,43.2745,0.0,0.032031004518162466,0.007869411047739236,0.07785343443150705,0.08195388752856385,0.09987246884252372,0.11749528131067873,0.11732749750431253,0.08350230198202545,0.034664814955905496,0.33047974474018804,0.024867146097212592,0.009196675180677662,0.01717658693589554,0.04980368089513101,0.06927188487798926,0.0651815121486654,0.0375834742509106,0.034964719412407065,0.20082147898108185,0.13252004770486986,0.06732760402181351,0.05443991923569005,0.0,0.0,0.19996912499999997,0.412875,3.63375,2.01875,0.23444895833333335,0.5431250000000001,2.019146875,1.475625,11.071344791666665,3.494375,1.020408163,4.0,3.0,8.919375,2.6625,6.0,2419.375,0.09862959800000001,300.0,0.7477991510800004
43_300_0,696.0,24.0,2036.4563618000402,60.18568355375,3300.3663210225004,51.52410625,0.0,5003879.229166666,1787.3125,0.0,0.0,11043.541666666666,104.84375,30632.166666666664,188.3125,0.01,0.0,23133230.25,3407.625,750.5558083333332,34.9475,21682.819712499997,127.70375,4230.958333333333,59.3125,1.7647500000000003,1.13125,"dict_items([('Ru', 3), ('Cr', 1.0), ('K', 12)])",0.0,5045.535174999999,66.33624999999999,31.139563433156916,5.0584981,2683.231425,48.754999999999995,212.59626562500003,10.299375000000001,0.0,0.0,-20.730079159684017,-3.141255862875,0.30826391666666664,0.6404375,723.13994375,28.170625,212.59626562500003,10.299375000000001,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.553851534,1498564.2112666667,877.46,569.25,15.8125,0.0,0.0,0.0,0.0,6.875,1.875,13.125,2.625,2.333333333333333,0.875,6.5,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,13.125,2.625,18.145833333333332,4.1875,750.5558083333332,34.9475,0.0,0.0,0.0,0.03,0.0,603.2435878227083,27.89535625,13634.4301875,98.18125,7621.794464937813,80.21468125000001,0.0,1460.2415815000002,41.627625,0.0,0.0030420456219919967,0.02210491781863746,0.06357460129217969,0.1020794597601654,0.14000259149091462,0.14206816184986035,0.14636532111003633,0.1027194258599683,0.014322356196461428,0.055157177225550594,0.0042007899756623494,0.002543322113431381,0.004319884418815633,0.10329626040846844,0.027297832094783567,0.03268931296928464,0.02811525859554924,0.025546623137790124,0.017432610318001685,0.07664364396532722,0.01074019154932053,0.026343842592848343,0.0,0.0,0.13464166666666666,0.37749999999999995,3.2733125,1.9718749999999998,0.21858593750000002,0.5353125000000001,1.7980973958333335,1.4365625,9.924233854166665,3.4084375,0.992184108,5.0,3.0,12.261562500000002,2.990625,5.0,1828.512563,0.025160832999999997,300.0,0.38299859731500036
66_300_0,915.75,25.4375,2073.3943345055072,60.307423750000005,4451.1172916287505,54.935381250000006,0.0,5636328.1875,1794.4375,0.0,0.0,13833.15625,112.3125,30769.333333333332,188.0,0.0,0.0,32090720.666666664,3749.5,709.2093499999999,34.635,17990.8608,116.16,5464.693333333333,63.2,2.0846666666666667,1.18,"dict_items([('Ru', 1), ('Rh', 3.0), ('K', 12)])",0.0,5124.5067,61.995,32.66198411392923,5.114072475,2782.5210749999997,45.6825,205.89261875,9.14875,0.0,0.0,-16.12974207594322,-2.757877917875,0.25923204166666663,0.6281875,744.1310000000001,28.387500000000003,205.89261875,9.14875,0.0,0.0,0.0,0.25,0.75,0.16666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12,0.58634798,1441521.326475,834.7725,661.2916666666667,16.8125,0.0,0.0,0.0,0.0,4.166666666666666,1.5625,17.625,2.9375,0.9375,0.5625,9.6875,1.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,17.625,2.9375,19.833333333333336,4.25,709.2093499999999,34.635,0.0,0.0,0.03,0.01,0.0,623.9317333333333,28.16,10365.2652,88.17,7410.270000000001,74.55000000000001,0.0,1473.216129,41.957625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158875,0.38437499999999997,3.2933291666666658,1.9681249999999997,0.21782031250000003,0.5334375,1.8148796875,1.4346875,9.998597395833333,3.4028125,0.941666667,4.0,3.0,13.213125000000003,3.0375,1.0,2381.909548,0.043421964,300.0,0.3732162031300002
